scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,2145424,463930.2671554033,4642305.852706851,NA,NA,15,NA,0,-4657457.0176845305,5759976.267008642
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,3245493,-1546099.1002786006,4235490.33766288,NA,NA,15,NA,0,-7546038.197284906,5047080.780565126
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,4779657,-3205425.4375022845,3668353.4373799064,NA,NA,15,NA,0,-10354804.5669516,4309786.344490601
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,4898993,-3189393.298978384,3624265.056439181,NA,NA,15,NA,0,-10369516.343479328,4236925.685138746
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,5366046,-2009027.1001562225,3451919.567307252,NA,NA,30,73.90552520751953,0,-9018384.327014795,3863913.234007393
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,5371470,-2009027.1001562225,3449915.5499917646,NA,NA,30,114.65921783447266,0,-9020303.027293988,3861127.708527353
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,5664331,-2079167.7061982863,3341698.6149554374,NA,NA,35,NA,0,-9200526.553620322,3716662.253620359
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,5734399,-2968951.3942747544,3315646.389854099,NA,NA,30,60.54423141479492,0,-10319463.155905474,3750714.5483750766
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,6071325,-1690388.3469937034,3191397.3162938715,NA,NA,30,76.5277328491211,0,-8898728.457357544,3497940.062565572
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,6981848,-3111236.62367437,2854722.4072919646,NA,NA,35,NA,0,-10848449.394004833,3147430.230354382
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,6981849,-3109232.6063588825,2854722.4072919646,NA,NA,35,NA,0,-10845734.258550705,3147272.007830705
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,7177469,-2395802.442045318,2782577.7839344135,NA,NA,15,NA,0,-9999819.559567055,3012468.2759558894
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,7562670,-2201412.7624430265,2640292.554534798,NA,NA,15,NA,0,-9866685.215225756,2831156.9342377307
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,7714376,-2534079.636813958,2584180.069701147,NA,NA,12,NA,0,-10287310.807927838,2778058.531401374
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,7860796,-2590192.1216476094,2530071.602182983,NA,NA,15,NA,0,-10385790.513537142,2715982.180281984
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,9363824,-1427862.0786648355,1974958.8057929343,NA,NA,15,NA,0,-9374416.709938308,2050492.042838897
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,9428706,-1840689.6456552688,1950910.5980070839,NA,NA,30,52.57072448730469,0,-9824859.16839405,2031278.0221041294
2019-08-05T20:15:38Z,2019-08-05T20:00:00Z,9472060,-1916842.3036437957,1934878.4594831835,NA,NA,30,69.08769226074219,0,-9914412.282268688,2015183.1133929074
