scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4233393,-79158.4253417207,3870759.186244148,NA,NA,15,NA,0,-6508044.822116797,4403822.902375054
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4238816,-81162.44265720807,3868755.1689286605,NA,NA,15,NA,0,-6512642.134826968,4400815.410474244
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4238817,-79158.4253417207,3868755.1689286605,NA,NA,15,NA,0,-6510553.7404510295,4400809.869492699
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4238818,-77154.40802623332,3868755.1689286605,NA,NA,15,NA,0,-6508465.2525419695,4400804.467111612
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4244238,-85170.47728818282,3866751.151613173,NA,NA,15,NA,0,-6519324.312283326,4397815.64447583
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4244239,-83166.45997269545,3866751.151613173,NA,NA,15,NA,0,-6517236.210450659,4397809.835335845
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4282210,-77154.40802623332,3852723.0304047605,NA,NA,15,NA,0,-6528432.444021211,4376764.592388455
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4282211,-75150.390710745,3852723.0304047605,NA,NA,15,NA,0,-6526344.723417528,4376759.393627233
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4287635,-75150.390710745,3850719.0130892727,NA,NA,15,NA,0,-6528827.679327639,4373762.400477489
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,4293060,-73146.37339525763,3848714.995773785,NA,NA,15,NA,0,-6529220.153361807,4370762.12255066
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,6839163,4429880.534505246,2908830.8748101285,NA,NA,12,NA,0,-939158.9412088684,3425248.052556658
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,8739337,-2884782.667024278,2205420.7970740013,NA,NA,35,NA,0,-10914435.757657941,2349146.6036655926
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,8766453,-2892798.736286228,2195400.710496564,NA,NA,35,NA,0,-10929120.467681222,2337962.055174981
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,9207482,483970.4403102789,2033075.3079420729,NA,NA,30,25.034086227416992,0,-7399129.846691319,2104785.2497812435
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,9249457,-2355722.095735567,2017043.1694181724,NA,NA,34,22.86177635192871,0,-10369091.593519628,2116925.0194113376
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,9548028,-1852713.7495481945,1906822.2170663578,NA,NA,30,84.26712799072266,0,-9856397.83343405,1983081.1047380955
2019-08-14T09:05:43Z,2019-08-14T09:00:00Z,10475624,-1668344.1565233404,1564135.2561179884,NA,NA,35,NA,0,-9785980.067438219,1609901.065954861
