scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,2296444,-1243492.485639982,4586193.3678732,NA,NA,33,61.710365295410156,0,-6594026.25871583,5692800.138048201
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3342472,-2854722.4072919646,4199418.025984105,NA,NA,12,NA,0,-9231370.930637026,5179195.223991033
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3966334,-2650312.641112236,3968956.0347030377,NA,NA,15,NA,0,-9233278.858365951,4714714.123758258
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3966335,-2648308.623796748,3968956.0347030377,NA,NA,15,NA,0,-9230603.186849216,4714405.495813788
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3971758,-2650312.641112236,3966952.0173875503,NA,NA,15,NA,0,-9235730.76331612,4711296.245148024
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3971759,-2648308.623796748,3966952.0173875503,NA,NA,15,NA,0,-9233055.887827195,4710988.343612845
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3977182,-2650312.641112236,3964948.0000720625,NA,NA,15,NA,0,-9238179.844019495,4707881.401132112
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3993455,-2648308.623796748,3958935.9481256,NA,NA,15,NA,0,-9242838.460856019,4697349.950622241
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,3993456,-2646304.6064812606,3958935.9481256,NA,NA,15,NA,0,-9240168.45531232,4697045.440624367
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4025974,-2698409.0566839366,3946911.8442326747,NA,NA,15,NA,0,-9324627.925074685,4684657.104085211
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4031395,-2704421.108630399,3944907.8269171873,NA,NA,15,NA,0,-9335166.248664843,4682195.887416807
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4031396,-2702417.091314912,3944907.8269171873,NA,NA,15,NA,0,-9332452.168594962,4681881.672718143
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4036817,-2708429.1432613744,3942903.8096017,NA,NA,15,NA,0,-9342994.540537838,4679422.995663403
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4036818,-2706425.1259458866,3942903.8096017,NA,NA,15,NA,0,-9340277.629286211,4679108.44105157
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4063907,-2768549.6627260004,3932883.723024262,NA,NA,35,NA,0,-9437186.916972399,4672033.866968454
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4069331,-2768549.6627260004,3930879.7057087743,NA,NA,35,NA,0,-9439537.756730394,4668626.063248064
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4101869,-2780573.7666189256,3918855.601815849,NA,NA,15,NA,0,-9470213.019861829,4650187.10611666
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4123561,-2788589.835880876,3910839.532553899,NA,NA,15,NA,0,-9490613.897862796,4637934.851095857
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4204871,-2888790.701655253,3880779.2728215856,NA,NA,15,NA,0,-9665979.104544582,4603896.151876826
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4291615,-2968951.3942747544,3848714.995773785,NA,NA,15,NA,0,-9817379.227794174,4563881.913959233
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4291616,-2966947.376959267,3848714.995773785,NA,NA,35,NA,0,-9814428.646186044,4563527.491226451
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4297039,-2968951.3942747544,3846710.9784582974,NA,NA,15,NA,0,-9819517.344392465,4560517.522986783
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4340322,-3187389.2816628967,3830678.8399343975,NA,NA,15,NA,0,-10174460.395823747,4575867.696129271
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4340654,-2522055.532921033,3830678.8399343975,NA,NA,15,NA,0,-9230788.72166703,4469378.5412601065
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4345953,-2772557.6973569756,3828674.8226189096,NA,NA,35,NA,0,-9561574.15259876,4499235.35323629
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4356590,-3195405.3509248467,3824666.7879879344,NA,NA,15,NA,0,-10193374.72650195,4567254.242065706
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4356591,-3193401.3336093593,3824666.7879879344,NA,NA,15,NA,0,-10190081.193905482,4566822.255144714
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4362013,-3197409.368240334,3822662.770672447,NA,NA,15,NA,0,-10198579.530625891,4564242.696956457
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4362014,-3195405.3509248467,3822662.770672447,NA,NA,15,NA,0,-10195284.444446571,4563810.978300922
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4362246,-2730473.3337317375,3822662.770672447,NA,NA,15,NA,0,-9511374.712693082,4483469.42171164
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4367438,-3195405.3509248467,3820658.7533569597,NA,NA,15,NA,0,-10197193.24999421,4560371.135600327
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4372861,-3197409.368240334,3818654.7360414723,NA,NA,15,NA,0,-10202391.294617716,4557363.974720925
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4394555,-3201417.4028713093,3810638.666779522,NA,NA,15,NA,0,-10216576.593268227,4544498.9544582395
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4394556,-3199413.385555822,3810638.666779522,NA,NA,15,NA,0,-10213288.195676578,4544072.616174822
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4400118,-2922858.996018541,3808634.6494640345,NA,NA,33,576.6204833984375,0,-9793117.985492472,4489535.844038481
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4400119,-2920854.9787030537,3808634.6494640345,NA,NA,33,302.4433288574219,0,-9790248.121436778,4489211.860264647
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4405542,-2922858.996018541,3806630.632148547,NA,NA,33,485.43487548828125,0,-9795244.2120801,4486247.073957785
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4448830,-3131276.7968292455,3790598.493624646,NA,NA,15,NA,0,-10123391.89550988,4496411.122609355
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4448831,-3129272.779513758,3790598.493624646,NA,NA,15,NA,0,-10120251.301398845,4496025.669335961
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4454254,-3131276.7968292455,3788594.476309159,NA,NA,15,NA,0,-10125350.628948627,4493058.0730214445
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4541128,-2950915.2384353667,3756530.199261358,NA,NA,15,NA,0,-9887743.807210505,4409218.196759137
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4551824,-3255525.870389473,3752522.1646303833,NA,NA,12,NA,0,-10359602.892255593,4457498.510935825
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4611523,-3185385.264347409,3730477.9741600202,NA,NA,15,NA,0,-10266102.813332831,4407012.385309487
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4622328,-3271558.008913373,3726469.9395290455,NA,NA,12,NA,0,-10409519.384661391,4417306.948105134
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4665803,-3105224.5717279073,3710437.8010051446,NA,NA,15,NA,0,-10160902.691508418,4360060.8494035695
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4714585,-3173361.1604544837,3692401.6451657573,NA,NA,15,NA,0,-10282595.254915165,4342805.016898468
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4747117,-3197409.368240334,3680377.5412728316,NA,NA,12,NA,0,-10331280.749574598,4327697.676843455
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4758077,-2972959.4289057297,3676369.5066418564,NA,NA,15,NA,0,-9999811.715079814,4285083.761032174
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4774313,-3045104.0522632813,3670357.4546953943,NA,NA,15,NA,0,-10109865.667339666,4286445.844198316
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4812279,-3049112.086894256,3656329.333486981,NA,NA,35,NA,0,-10129161.97633693,4264998.239291272
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4888121,-3237489.7145500854,3628273.0910701556,NA,NA,33,177.80030822753906,0,-10441109.428372113,4251467.037137317
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4926085,-3245505.7838120353,3614244.969861743,NA,NA,13,135.91522216796875,0,-10466059.335009113,4230650.6275439765
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4936981,-3149312.9526686333,3610236.935230768,NA,NA,15,NA,0,-10320942.249669159,4208442.508481247
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,4947778,-3251517.835758498,3606228.9005997926,NA,NA,12,NA,0,-10482536.994289067,4219040.862403208
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,5528956,-1628263.8102135896,3391799.0478426255,NA,NA,30,102.19635009765625,0,-8653166.292652013,3761581.035032202
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,5534380,-1628263.8102135896,3389795.030527138,NA,NA,30,115.02014923095703,0,-8655042.906725595,3758863.000343487
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,6347960,-1668344.1565233404,3089192.433204007,NA,NA,35,NA,0,-8958498.648696315,3365329.4417913062
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,7427074,-2193396.693181076,2690392.9874219866,NA,NA,34,22.988727569580078,0,-9826093.204720596,2891126.0803373368
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,8337961,-2884782.667024278,2353718.0784200793,NA,NA,35,NA,0,-10841981.902185967,2521466.49099196
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,9526363,-1790589.2127680806,1914838.2863283078,NA,NA,30,20.116300582885742,0,-9785906.238143265,1990680.770842201
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,9548028,-1852713.7495481945,1906822.2170663578,NA,NA,33,25.491374969482422,0,-9856397.83343405,1983081.1047380955
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11236076,520042.7519890545,1283572.8319497327,NA,NA,30,47.80109405517578,0,-7642442.912678552,1305854.3407751636
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11860188,1225456.847040669,1053110.8406686652,NA,NA,35,NA,0,-6981912.56514962,1070518.4897206407
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11919383,285572.7260770118,1031066.6501983022,NA,NA,35,NA,0,-7941649.218915453,1044371.3213815457
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11924805,281564.69144603703,1029062.6328828149,NA,NA,15,NA,0,-7946113.613655813,1042307.1960102514
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11924806,283568.7087615244,1029062.6328828149,NA,NA,35,NA,0,-7944102.6427327935,1042309.8653051776
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11924807,285572.7260770118,1029062.6328828149,NA,NA,35,NA,0,-7942091.621510225,1042312.5536013348
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11924808,287576.74339249916,1029062.6328828149,NA,NA,35,NA,0,-7940080.549658115,1042315.2609002091
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11930229,281564.69144603703,1027058.6155673275,NA,NA,35,NA,0,-7946555.066423415,1040248.6118617536
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11930230,283568.7087615244,1027058.6155673275,NA,NA,35,NA,0,-7944544.119358577,1040251.2755665196
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11930231,285572.7260770118,1027058.6155673275,NA,NA,35,NA,0,-7942533.122016109,1040253.958232713
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11930232,287576.74339249916,1027058.6155673275,NA,NA,35,NA,0,-7940522.074066057,1040256.6598618138
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11930655,1135276.0678437296,1027058.6155673275,NA,NA,33,27.206554412841797,0,-7080982.689985587,1043133.8040481852
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935653,281564.69144603703,1025054.5982518401,NA,NA,35,NA,0,-7946995.617451393,1038190.1997464073
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935654,283568.7087615244,1025054.5982518401,NA,NA,35,NA,0,-7944984.694195629,1038192.8578634139
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935655,285572.7260770118,1025054.5982518401,NA,NA,35,NA,0,-7942973.720684101,1038195.5349020639
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935656,287576.74339249916,1025054.5982518401,NA,NA,35,NA,0,-7940962.6965868985,1038198.2308638318
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935657,289580.7607079875,1025054.5982518401,NA,NA,35,NA,0,-7938951.621574034,1038200.9457502175
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11935658,291584.77802347485,1025054.5982518401,NA,NA,35,NA,0,-7936940.495315473,1038203.6795627201
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941075,277556.6568150623,1023050.5809363527,NA,NA,35,NA,0,-7951456.916599065,1036126.7108672961
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941076,279560.67413054965,1023050.5809363527,NA,NA,35,NA,0,-7949446.116581785,1036129.3256396023
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941077,281564.69144603703,1023050.5809363527,NA,NA,35,NA,0,-7947435.266990126,1036131.9592908523
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941078,283568.7087615244,1023050.5809363527,NA,NA,35,NA,0,-7945424.367494341,1036134.6118225006
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941079,285572.7260770118,1023050.5809363527,NA,NA,35,NA,0,-7943413.417764616,1036137.2832360144
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941080,287576.74339249916,1023050.5809363527,NA,NA,35,NA,0,-7941402.41747107,1036139.9735328854
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941081,289580.7607079875,1023050.5809363527,NA,NA,35,NA,0,-7939391.366283764,1036142.6827145914
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941082,291584.77802347485,1023050.5809363527,NA,NA,35,NA,0,-7937380.263872701,1036145.4107826403
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941083,293588.7953389622,1023050.5809363527,NA,NA,15,NA,0,-7935369.109907814,1036148.1577385433
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941084,295592.8126544496,1023050.5809363527,NA,NA,15,NA,0,-7933357.904058976,1036150.9235838183
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11941085,297596.829969937,1023050.5809363527,NA,NA,15,NA,0,-7931346.645995995,1036153.7083200043
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946498,275552.63949957397,1021046.5636208644,NA,NA,35,NA,0,-7953906.34466845,1034066.0623140195
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946499,277556.6568150623,1021046.5636208644,NA,NA,35,NA,0,-7951895.617541689,1034068.6527451023
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946500,279560.67413054965,1021046.5636208644,NA,NA,35,NA,0,-7949884.841191898,1034071.2620139304
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946501,281564.69144603703,1021046.5636208644,NA,NA,35,NA,0,-7947874.015289418,1034073.8901219551
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946502,283568.7087615244,1021046.5636208644,NA,NA,35,NA,0,-7945863.139504536,1034076.5370706354
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946503,285572.7260770118,1021046.5636208644,NA,NA,35,NA,0,-7943852.213507483,1034079.2028614302
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946504,287576.74339249916,1021046.5636208644,NA,NA,35,NA,0,-7941841.2369684195,1034081.8874958189
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946505,289580.7607079875,1021046.5636208644,NA,NA,35,NA,0,-7939830.209557449,1034084.5909752916
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946506,291584.77802347485,1021046.5636208644,NA,NA,35,NA,0,-7937819.13094461,1034087.313301345
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946507,293588.7953389622,1021046.5636208644,NA,NA,15,NA,0,-7935808.000799881,1034090.0544754826
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946508,295592.8126544496,1021046.5636208644,NA,NA,15,NA,0,-7933796.818793178,1034092.8144992283
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11946509,297596.829969937,1021046.5636208644,NA,NA,15,NA,0,-7931785.584594341,1034095.5933741118
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951922,275552.63949957397,1019042.546305377,NA,NA,35,NA,0,-7954344.121121901,1032008.1805622748
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951923,277556.6568150623,1019042.546305377,NA,NA,35,NA,0,-7952333.41759207,1032010.7655319493
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951924,279560.67413054965,1019042.546305377,NA,NA,35,NA,0,-7950322.664860799,1032013.369299659
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951925,281564.69144603703,1019042.546305377,NA,NA,35,NA,0,-7948311.862598483,1032015.991866827
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951926,283568.7087615244,1019042.546305377,NA,NA,35,NA,0,-7946301.010475444,1032018.6332349209
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951927,285572.7260770118,1019042.546305377,NA,NA,35,NA,0,-7944290.108161952,1032021.2934053964
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951928,287576.74339249916,1019042.546305377,NA,NA,35,NA,0,-7942279.155328211,1032023.9723797308
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951929,289580.7607079875,1019042.546305377,NA,NA,35,NA,0,-7940268.151644367,1032026.6701594024
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951930,291584.77802347485,1019042.546305377,NA,NA,35,NA,0,-7938257.096780495,1032029.3867459144
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951931,293588.7953389622,1019042.546305377,NA,NA,15,NA,0,-7936245.990406618,1032032.1221407609
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951932,295592.8126544496,1019042.546305377,NA,NA,15,NA,0,-7934234.832192686,1032034.8763454654
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11951933,297596.829969937,1019042.546305377,NA,NA,15,NA,0,-7932223.62180859,1032037.6493615495
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957347,277556.6568150623,1017038.5289898897,NA,NA,35,NA,0,-7952770.316998801,1029953.0488552037
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957348,279560.67413054965,1017038.5289898897,NA,NA,35,NA,0,-7950759.587837109,1029955.6471241273
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957349,281564.69144603703,1017038.5289898897,NA,NA,35,NA,0,-7948748.809165958,1029958.2641528083
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957350,283568.7087615244,1017038.5289898897,NA,NA,35,NA,0,-7946737.980655719,1029960.8999426946
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957351,285572.7260770118,1017038.5289898897,NA,NA,35,NA,0,-7944727.101976696,1029963.5544952455
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957352,287576.74339249916,1017038.5289898897,NA,NA,35,NA,0,-7942716.172799136,1029966.227811934
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957353,289580.7607079875,1017038.5289898897,NA,NA,35,NA,0,-7940705.192793221,1029968.919894241
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957354,291584.77802347485,1017038.5289898897,NA,NA,35,NA,0,-7938694.161629077,1029971.6307436512
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957355,293588.7953389622,1017038.5289898897,NA,NA,35,NA,0,-7936683.078976757,1029974.3603616733
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957356,295592.8126544496,1017038.5289898897,NA,NA,35,NA,0,-7934671.94450626,1029977.108749815
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957357,297596.829969937,1017038.5289898897,NA,NA,15,NA,0,-7932660.757887515,1029979.8759095975
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11957358,299600.84728542436,1017038.5289898897,NA,NA,15,NA,0,-7930649.518790386,1029982.6618425628
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962770,275552.63949957397,1015034.5116744023,NA,NA,35,NA,0,-7955216.972492573,1027892.9282885786
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962771,277556.6568150623,1015034.5116744023,NA,NA,35,NA,0,-7953206.3160099145,1027895.5023424347
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962772,279560.67413054965,1015034.5116744023,NA,NA,35,NA,0,-7951195.61036887,1027898.0951149168
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962773,281564.69144603703,1015034.5116744023,NA,NA,35,NA,0,-7949184.855239906,1027900.7066074618
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962774,283568.7087615244,1015034.5116744023,NA,NA,35,NA,0,-7947174.050293434,1027903.3368215171
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962775,285572.7260770118,1015034.5116744023,NA,NA,35,NA,0,-7945163.195199803,1027905.9857585311
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962776,287576.74339249916,1015034.5116744023,NA,NA,35,NA,0,-7943152.289629293,1027908.6534199871
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962777,289580.7607079875,1015034.5116744023,NA,NA,35,NA,0,-7941141.333252136,1027911.3398073444
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962778,291584.77802347485,1015034.5116744023,NA,NA,35,NA,0,-7939130.3257384915,1027914.0449221001
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962779,293588.7953389622,1015034.5116744023,NA,NA,35,NA,0,-7937119.266758454,1027916.7687657533
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962780,295592.8126544496,1015034.5116744023,NA,NA,35,NA,0,-7935108.155982064,1027919.5113398124
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962781,297596.829969937,1015034.5116744023,NA,NA,35,NA,0,-7933096.993079293,1027922.2726457888
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962782,299600.84728542436,1015034.5116744023,NA,NA,15,NA,0,-7931085.777720043,1027925.0526852234
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11962784,303608.88191640005,1015034.5116744023,NA,NA,15,NA,0,-7927063.188311427,1027930.6689706191
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968193,273548.6221840866,1013030.4943589149,NA,NA,35,NA,0,-7957662.632130102,1025833.007100151
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968194,275552.63949957397,1013030.4943589149,NA,NA,35,NA,0,-7955652.047905236,1025835.557022038
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968195,277556.6568150623,1013030.4943589149,NA,NA,35,NA,0,-7953641.414872858,1025838.12562146
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968196,279560.67413054965,1013030.4943589149,NA,NA,35,NA,0,-7951630.732703543,1025840.7128998347
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968197,281564.69144603703,1013030.4943589149,NA,NA,35,NA,0,-7949620.001067805,1025843.3188585929
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968198,283568.7087615244,1013030.4943589149,NA,NA,35,NA,0,-7947609.219636087,1025845.9434991789
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968199,285572.7260770118,1013030.4943589149,NA,NA,35,NA,0,-7945598.388078782,1025848.5868230525
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968200,287576.74339249916,1013030.4943589149,NA,NA,35,NA,0,-7943587.506066215,1025851.2488316648
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968201,289580.7607079875,1013030.4943589149,NA,NA,35,NA,0,-7941576.57326865,1025853.9295264998
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968202,291584.77802347485,1013030.4943589149,NA,NA,35,NA,0,-7939565.589356292,1025856.6289090395
2019-08-07T01:55:39Z,2019-08-07T02:00:00Z,11968203,293588.7953389622,1013030.4943589149,NA,NA,35,NA,0,-7937554.55399928,1025859.3469807765
