scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,6347960,-1668344.1565233404,3089192.433204007,NA,NA,32,NA,0,-8958498.648696315,3365329.4417913062
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,9207482,483970.4403102789,2033075.3079420729,NA,NA,30,20.891389846801758,0,-7399129.846691319,2104785.2497812435
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,10475624,-1668344.1565233404,1564135.2561179884,NA,NA,34,22.92959976196289,0,-9785980.067438219,1609901.065954861
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,10497334,-1640287.9141065148,1556119.1868560384,NA,NA,33,51.64093017578125,0,-9758800.815406421,1600991.7521011322
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,11854767,1231468.8989871312,1055114.8579841526,NA,NA,32,NA,0,-6975222.677999061,1072623.5194409722
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,13276446,2415843.132440268,530062.3213264169,NA,NA,10,21.199129104614258,0,-5792197.595023554,541402.6869045818
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,15934617,3239494.249105647,-451906.1632624781,NA,NA,30,97.59957122802734,0,-4809594.0851936,-467093.53149865195
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16292575,3187389.7989029717,-584171.3060846552,NA,NA,35,NA,0,-4858943.966354443,-603843.9659312929
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16509370,2856726.9418475274,-664331.9987041568,NA,NA,10,27.480501174926758,0,-5256960.139142647,-683432.4251175764
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16514296,1858726.3187347315,-666336.0160196451,NA,NA,34,37.12229919433594,0,-6388818.996770093,-677397.0246734835
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16514897,3063140.725342743,-666336.0160196451,NA,NA,10,38.18385314941406,0,-5002966.481215626,-687798.8084121664
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16552373,2077164.2061228734,-680364.1372280577,NA,NA,30,47.530677795410156,0,-6149289.628934359,-693184.2179541799
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16552934,3201417.9201113842,-680364.1372280577,NA,NA,35,NA,0,-4825465.347285342,-704092.1439169268
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16666047,1616240.2235607393,-722448.5008532964,NA,NA,30,26.055709838867188,0,-6638650.167685946,-733366.1031463539
2019-08-03T12:25:36Z,2019-08-03T12:00:00Z,16802387,3099213.0370215196,-772548.9337404845,NA,NA,10,25.44730567932129,0,-4938403.254188531,-798830.0701724663
