scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,1146399,-1558123.2041715258,5011045.038756559,NA,NA,30,244.26377868652344,0,-5804399.3549721455,6863853.725881618
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,1211672,-1187380.0008063307,4986996.830970708,NA,NA,34,143.82461547851562,0,-5506059.998823962,6685337.907132187
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,2382957,-1786581.1781371054,4554129.090825399,NA,NA,15,NA,0,-7253734.0096401535,5692642.5219573695
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,3282814,-2842698.3033990394,4221462.216454468,NA,NA,30,268.57562255859375,0,-9183826.103642099,5220455.529462541
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,3723259,-636275.2390472572,4059136.813899977,NA,NA,30,43.371646881103516,0,-6839472.651744743,4703765.070752288
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,4215683,-2960935.3250128045,3876771.238190611,NA,NA,35,NA,0,-9775373.369595151,4609838.068611743
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,4215684,-2958931.307697317,3876771.238190611,NA,NA,35,NA,0,-9772413.525694154,4609473.730982818
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,4627938,-2898810.7882326907,3724465.9222135576,NA,NA,15,NA,0,-9846858.824405052,4350139.947583797
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,5236093,-1562131.238802501,3500015.982878953,NA,NA,15,NA,0,-8476936.786365455,3907157.494840592
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,5360620,-2013035.1347871977,3453923.58462274,NA,NA,32,NA,0,-9021009.466297744,3866943.1905228347
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,5366044,-2013035.1347871977,3451919.567307252,NA,NA,30,108.07046508789062,0,-9022929.987413894,3864155.9408345106
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,5534266,-1856721.7841791692,3389795.030527138,NA,NA,30,53.51181411743164,0,-8906090.174989883,3769827.9939076975
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,6070495,-3353722.7188483626,3191397.3162938715,NA,NA,34,120.21798706054688,0,-10966658.933044484,3620245.082336253
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,6260838,-2345702.0091581293,3121256.7102518077,NA,NA,33,123.07210540771484,0,-9695435.359249517,3438883.0463611125
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,6260839,-2343697.991842642,3121256.7102518077,NA,NA,35,NA,0,-9693078.707128458,3438764.3024761537
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,6266262,-2345702.0091581293,3119252.6929363203,NA,NA,32,NA,0,-9697021.74364171,3436265.400558397
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,6266263,-2343697.991842642,3119252.6929363203,NA,NA,35,NA,0,-9694665.260998353,3436146.825077801
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,7112255,-2648308.623796748,2806625.991720264,NA,NA,15,NA,0,-10285894.048424788,3055561.8074451075
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,7231361,-3093200.467834982,2762537.610779538,NA,NA,30,38.753292083740234,0,-10882069.061214162,3029267.7007662044
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,7345291,-3041096.017632306,2720453.2471542996,NA,NA,30,42.497413635253906,0,-10838492.046786781,2972973.7391878255
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,7502809,-2596204.173594072,2662336.745005161,NA,NA,15,NA,0,-10314553.163826955,2875355.5169741525
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,8213518,-2265541.3165386277,2399810.476676293,NA,NA,35,NA,0,-10079389.499906806,2549710.977007091
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,8614875,-2303617.645532891,2251513.195330215,NA,NA,33,99.36429595947266,0,-10200107.709159136,2380074.612056277
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,9341497,-2692397.004737474,1982974.8750548842,NA,NA,30,41.48280334472656,0,-10777865.91572241,2089281.5449618155
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,9531753,-1858725.801494657,1912834.2690128204,NA,NA,30,37.59405517578125,0,-9860422.720684562,1989792.848842219
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,9548028,-1852713.7495481945,1906822.2170663578,NA,NA,30,60.96532440185547,0,-9856397.83343405,1983081.1047380955
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,10497334,-1640287.9141065148,1556119.1868560384,NA,NA,35,NA,0,-9758800.815406421,1600991.7521011322
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11702432,303608.88191640005,1111227.3428178038,NA,NA,35,NA,0,-7905099.7021270115,1126894.9497943977
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11778473,514030.70004259143,1083171.1004009787,NA,NA,30,34.647560119628906,0,-7700079.065440539,1098417.0546029003
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11827655,1247501.037511032,1065134.9445615904,NA,NA,30,52.591304779052734,0,-6956264.758934754,1083067.4356297941
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11838131,502006.59614966623,1061126.9099306157,NA,NA,30,26.414073944091797,0,-7717302.528913274,1075689.8838294144
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11849343,1231468.8989871312,1057118.875299641,NA,NA,30,87.84427642822266,0,-6974753.574071729,1074691.8185838815
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11854767,1231468.8989871312,1055114.8579841526,NA,NA,30,126.96358489990234,0,-6975222.677999061,1072623.5194409722
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11854770,1237480.9509335943,1055114.8579841526,NA,NA,30,79.39891052246094,0,-6968998.83616113,1072660.7008329139
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11860188,1225456.847040669,1053110.8406686652,NA,NA,30,40.44089889526367,0,-6981912.56514962,1070518.4897206407
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,11903543,1151308.2063676296,1037078.7021447653,NA,NA,30,25.297250747680664,0,-7062186.094488651,1053548.4474489905
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,13606224,239480.32782079838,407817.2650816776,NA,NA,10,19.77589988708496,0,-8082911.734157328,410605.50197602645
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15309055,-371744.95340290107,-221444.17198141105,NA,NA,33,27.56092643737793,0,-8706241.017792275,-222826.42755659763
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15384940,-473949.8364927657,-249500.4143982362,NA,NA,10,34.11506652832031,0,-8807345.089482827,-251127.33284088527
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15592372,2171353.0199507885,-325653.07238676306,NA,NA,33,19.990928649902344,0,-6086306.694344606,-331296.94728675386
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15614743,3524064.707904879,-333669.14164871257,NA,NA,33,44.11709976196289,0,-4444623.950979137,-346588.98511563195
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15775467,-475953.853808254,-393789.6611133395,NA,NA,35,NA,0,-8799793.41537094,-396600.7451990511
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15831391,2898811.305472765,-413829.8342682151,NA,NA,30,46.606388092041016,0,-5239033.554633843,-425174.5314717108
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15902035,3163341.5911171213,-439882.0593695529,NA,NA,30,31.78042221069336,0,-4908291.639933487,-454003.63424140675
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,15961543,2850714.8899010643,-461926.2498399159,NA,NA,30,106.87895202636719,0,-5292024.803281439,-474383.14561791095
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16080899,2906827.3747347156,-506014.6307806419,NA,NA,33,41.754295349121094,0,-5218930.236925485,-520269.58909207676
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16156413,2061132.0675989734,-534070.8731974671,NA,NA,30,179.4188995361328,0,-6187122.481129567,-543381.0201592825
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16156414,2063136.0849144608,-534070.8731974671,NA,NA,30,123.08003234863281,0,-6184928.4663103875,-543391.8902616687
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16319593,2982980.0327232424,-594191.392662093,NA,NA,30,28.86777114868164,0,-5113795.026999658,-612104.1499107963
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16379238,2944903.7037289795,-616235.583132456,NA,NA,30,31.207181930541992,0,-5157263.972391017,-634545.9890112245
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16411252,1882774.526520582,-628259.6870253813,NA,NA,33,96.230377197265625,0,-6368468.9711986305,-638610.5701554676
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16416676,1882774.526520582,-630263.7043408696,NA,NA,33,98.65184783935547,0,-6368184.69477625,-640658.655741928
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16433145,2277565.937671628,-636275.7562873317,NA,NA,34,20.536300659179688,0,-5933793.329904963,-649396.9911977017
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16438573,2285582.0069335783,-638279.7736028191,NA,NA,30,164.7215576171875,0,-5924514.722693858,-651513.1555626323
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16438574,2287586.0242490657,-638279.7736028191,NA,NA,30,118.17376708984375,0,-5922267.821671864,-651528.0035377413
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16471417,2886787.20157984,-650303.8774957443,NA,NA,30,27.44607162475586,0,-5222811.502841818,-669222.3593940958
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16487176,1858726.3187347315,-656315.9294422073,NA,NA,35,NA,0,-6390312.072741925,-667150.125110791
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16487179,1864738.3706811946,-656315.9294422073,NA,NA,33,37.169864654541016,0,-6383840.2394744065,-667185.7880334943
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16519720,1858726.3187347315,-668340.0333351325,NA,NA,33,85.043426513671875,0,-6388517.610389123,-679446.7414390754
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16530794,2311634.232034916,-672348.0679661073,NA,NA,30,27.624605178833008,0,-5890076.340907803,-686706.6323318967
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16585031,2305622.180088453,-692388.2411209829,NA,NA,30,110.2027359008789,0,-5893655.6665056115,-707260.9688649873
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16585036,2315642.266665891,-692388.2411209829,NA,NA,30,85.17359924316406,0,-5882384.654302103,-707342.8237039291
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16590454,2303618.1627729656,-694392.2584364703,NA,NA,30,129.54953002929688,0,-5895585.128740762,-709305.4524337839
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16590455,2305622.180088453,-694392.2584364703,NA,NA,30,208.4813690185547,0,-5893332.384091885,-709321.8176567015
2019-08-02T22:15:36Z,2019-08-02T22:00:00Z,16595878,2303618.1627729656,-696396.2757519577,NA,NA,30,280.4666442871094,0,-5895260.941109111,-711366.3730107631
