scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1211518,-1495998.667391412,4986996.830970708,NA,NA,32,NA,0,-5823796.375517039,6760750.42613009
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1238863,-1045094.7714067148,4976976.74439327,NA,NA,14,80.04181671142578,0,-5393687.945655372,6629776.713853041
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1623621,-1738484.7625654046,4834691.5149936555,NA,NA,15,NA,0,-6549477.939201673,6365839.632280906
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1629043,-1742492.7971963794,4832687.497678168,NA,NA,15,NA,0,-6559421.154710433,6361279.241740696
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1634465,-1746500.8318273546,4830683.48036268,NA,NA,15,NA,0,-6569354.724041615,6356727.7750072805
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1775593,-1538083.0310166501,4778579.030160004,NA,NA,15,NA,0,-6475029.424409892,6173013.411080675
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1807839,-2135280.1910319375,4766554.926267079,NA,NA,15,NA,0,-7199924.2680366915,6297081.365996891
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1807840,-2133276.17371645,4766554.926267079,NA,NA,15,NA,0,-7197342.235585809,6296327.200182757
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1824136,-2085179.7581447489,4760542.874320616,NA,NA,15,NA,0,-7150916.136775931,6261952.390280932
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1829532,-2141292.2429784,4758538.857005129,NA,NA,15,NA,0,-7227149.356636843,6276237.2737851655
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1829583,-2039087.3598885355,4758538.857005129,NA,NA,15,NA,0,-7098587.303043297,6241178.476091997
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1829843,-1518042.857861775,4758538.857005129,NA,NA,15,NA,0,-6503083.875438478,6119375.037596823
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1834956,-2141292.2429784,4756534.839689641,NA,NA,15,NA,0,-7231987.815754996,6270502.175731714
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1835004,-2045099.411834998,4756534.839689641,NA,NA,15,NA,0,-7110885.824059681,6237564.460487292
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1840383,-2135280.1910319375,4754530.822374154,NA,NA,15,NA,0,-7229083.43334689,6262595.230732576
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1840426,-2049107.4464659733,4754530.822374154,NA,NA,15,NA,0,-7120713.072910627,6233320.29514745
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1840427,-2047103.429150486,4754530.822374154,NA,NA,15,NA,0,-7118242.21018143,6232682.483284825
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1840687,-1526058.927123725,4754530.822374154,NA,NA,35,NA,0,-6521623.375119919,6110854.768980846
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1845849,-2051111.4637814607,4752526.8050586665,NA,NA,15,NA,0,-7128059.498610989,6228446.033307564
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1851218,-2161332.4161332757,4750522.787743179,NA,NA,15,NA,0,-7272359.988432493,6260759.128885671
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1851264,-2069147.619620849,4750522.787743179,NA,NA,15,NA,0,-7155255.172264531,6228719.9845961565
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1856669,-2107223.948615112,4748518.770427691,NA,NA,15,NA,0,-7207809.600214944,6235821.671944356
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1867513,-2115240.0178770623,4744510.735796716,NA,NA,15,NA,0,-7227560.093948321,6227401.605692345
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1867827,-1485978.5808139741,4744510.735796716,NA,NA,15,NA,0,-6502494.108192577,6079673.905535384
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1872906,-2177364.554657176,4742506.718481229,NA,NA,15,NA,0,-7312296.220824602,6243917.534207539
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1872936,-2117244.0351925497,4742506.718481229,NA,NA,15,NA,0,-7234883.352858629,6222521.185428507
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1878339,-2159328.398817788,4740502.701165741,NA,NA,15,NA,0,-7293553.435237338,6231647.512626767
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1883767,-2151312.329555838,4738498.683850253,NA,NA,15,NA,0,-7287933.265173886,6223174.493642493
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1889189,-2155320.364186813,4736494.666534766,NA,NA,15,NA,0,-7297824.621692942,6218998.903333129
2019-08-01T00:15:33Z,2019-08-01T00:00:00Z,1889190,-2153316.3468713253,4736494.666534766,NA,NA,15,NA,0,-7295240.3416043725,6218291.655338195
