361,0,12
361,1,15
361,2,17
361,3,19
361,4,19
361,5,17
361,6,15
361,7,15
361,8,12
361,9,10
361,10,4
361,11,3
361,12,2
361,13,2
361,14,2
361,15,2
361,16,3
361,17,5
361,18,7
361,19,9
361,20,10
361,21,11
361,22,26
361,23,31
362,0,38
362,1,34
362,2,31
362,3,32
362,4,32
362,5,28
362,6,24
362,7,22
362,8,20
362,9,21
362,10,17
362,11,17
362,12,16
362,13,16
362,14,14
362,15,12
362,16,12
362,17,11
362,18,8
362,19,7
362,20,7
362,21,4
362,22,14
362,23,17
363,0,27
363,1,35
363,2,39
363,3,42
363,4,41
363,5,33
363,6,30
363,7,31
363,8,30
363,9,27
363,10,18
363,11,16
363,12,13
363,13,13
363,14,14
363,15,15
363,16,17
363,17,17
363,18,16
363,19,15
363,20,15
363,21,17
363,22,32
363,23,42
364,0,51
364,1,56
364,2,57
364,3,61
364,4,61
364,5,61
364,6,54
364,7,53
364,8,44
364,9,37
364,10,32
364,11,30
364,12,26
364,13,29
364,14,27
364,15,20
364,16,16
364,17,8
364,18,4
364,19,3
364,20,4
364,21,3
364,22,3
364,23,3
365,0,4
365,1,4
365,2,4
365,3,4
365,4,4
365,5,5
365,6,6
365,7,6
365,8,5
365,9,6
365,10,5
365,11,4
365,12,3
365,13,3
365,14,3
365,15,2
365,16,2
365,17,2
365,18,1
365,19,2
365,20,2
365,21,3
365,22,5
365,23,6
1,0,9
1,1,11
1,2,14
1,3,15
1,4,14
1,5,14
1,6,13
1,7,12
1,8,10
1,9,10
1,10,6
1,11,5
1,12,3
1,13,3
1,14,3
1,15,2
1,16,2
1,17,2
1,18,1
1,19,1
1,20,2
1,21,3
1,22,6
1,23,8
2,0,12
2,1,14
2,2,16
2,3,16
2,4,16
2,5,15
2,6,12
2,7,11
2,8,9
2,9,9
2,10,5
2,11,4
2,12,2
2,13,2
2,14,3
2,15,3
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,3
2,22,5
2,23,6
3,0,10
3,1,12
3,2,16
3,3,19
3,4,20
3,5,22
3,6,18
3,7,16
3,8,14
3,9,11
3,10,6
3,11,6
3,12,4
3,13,2
3,14,2
3,15,2
3,16,4
3,17,5
3,18,6
3,19,7
3,20,9
3,21,12
3,22,20
3,23,34
4,0,51
4,1,59
4,2,57
4,3,32
4,4,18
4,5,12
4,6,10
4,7,9
4,8,6
4,9,6
4,10,5
4,11,6
4,12,5
4,13,5
4,14,5
4,15,5
4,16,5
4,17,5
4,18,4
4,19,4
4,20,4
4,21,4
4,22,4
4,23,4
5,0,5
5,1,5
5,2,6
5,3,5
5,4,4
5,5,2
5,6,1
5,7,1
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,1
5,23,1
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,1
6,23,1
7,0,4
7,1,5
7,2,6
7,3,8
7,4,8
7,5,8
7,6,6
7,7,6
7,8,5
7,9,5
7,10,2
7,11,2
7,12,1
7,13,1
7,14,1
7,15,1
7,16,0
7,17,0
7,18,0
7,19,0
7,20,1
7,21,1
7,22,2
7,23,2
